candidate_id,rank,score,reasoning
CAND_0052328,1,1.0000,"Seasoned Recommendation Systems Engineer (6 yrs) with concrete rag and embeddings work — exactly the matching/ranking depth the JD asks for; Pune-based (preferred location), open to work, 30-day notice."
CAND_0079387,2,0.9866,"6.9 yrs as an AI Engineer at Microsoft, with collaborative filtering and learning to rank running through the career history — squarely the JD's core mandate; Trivandrum-based, responsive and recently active, open to work."
CAND_0062247,3,0.9754,"Seasoned AI Engineer (7 yrs) with concrete embedding and information retrieval work — exactly the matching/ranking depth the JD asks for; Kochi-based, open to relocate, responsive and recently active, open to work."
CAND_0050454,4,0.9747,"6.8 yrs as an AI Engineer at Rephrase.ai, with sentence-transformers and learning-to-rank running through the career history — squarely the JD's core mandate; Delhi-based, responsive and recently active, open to work."
CAND_0048558,5,0.9733,"Data Scientist at Rephrase.ai (7 yrs) whose roles cover elasticsearch and re-ranking, a close match to the search/recommendation systems this position owns; Noida-based (preferred location), responsive and recently active, open to work."
CAND_0099806,6,0.9671,"Seasoned AI Engineer (5 yrs) with concrete sentence transformers and qdrant work — exactly the matching/ranking depth the JD asks for; Bhubaneswar-based, open to relocate, responsive and recently active, open to work."
CAND_0046525,7,0.9647,"Seasoned Senior Machine Learning Engineer (6 yrs) with concrete embedding and hnsw work — exactly the matching/ranking depth the JD asks for; Pune-based (preferred location), responsive and recently active, open to work."
CAND_0058688,8,0.9645,"AI Engineer at Vedantu (7 yrs) whose roles cover semantic search and machine learning, a close match to the search/recommendation systems this position owns; open to work, 15-day notice."
CAND_0052682,9,0.9642,"NLP Engineer with 7 yrs; profile shows hands-on recommendation systems, faiss — the retrieval/ranking work this role centres on; Vizag-based, open to work, 30-day notice."
CAND_0078492,10,0.9607,"Seasoned Recommendation Systems Engineer (5 yrs) with concrete sentence-transformers and elasticsearch work — exactly the matching/ranking depth the JD asks for; Kochi-based, open to relocate, open to work, 30-day notice."
CAND_0036184,11,0.9598,"Seasoned Recommendation Systems Engineer (6 yrs) with concrete bm25 and query expansion work — exactly the matching/ranking depth the JD asks for; Trivandrum-based, responsive and recently active, open to work."
CAND_0002025,12,0.9585,"Seasoned Senior AI Engineer (6 yrs) with concrete re-ranking and sentence transformers work — exactly the matching/ranking depth the JD asks for; Trivandrum-based, responsive and recently active, open to work."
CAND_0046132,13,0.9548,"4.3 yrs as an AI Research Engineer at Verloop.io, with search engine and matrix factorization running through the career history — squarely the JD's core mandate; Noida-based (preferred location), responsive and recently active, open to work."
CAND_0046064,14,0.9534,"Senior NLP Engineer at Salesforce (9 yrs) whose roles cover reranking and vector search, a close match to the search/recommendation systems this position owns; Coimbatore-based, responsive and recently active, open to work."
CAND_0041669,15,0.9531,"Recommendation Systems Engineer with 8 yrs; profile shows hands-on recommendation systems, search engine — the retrieval/ranking work this role centres on; Noida-based (preferred location), responsive and recently active, open to work."
CAND_0064326,16,0.9525,"Search Engineer with 8 yrs; profile shows hands-on ranking model, recommendation systems — the retrieval/ranking work this role centres on; Gurgaon-based, responsive and recently active, open to work."
CAND_0004402,17,0.9485,"AI Research Engineer at Yellow.ai (6 yrs) whose roles cover ranking system and sentence transformers, a close match to the search/recommendation systems this position owns; Delhi-based, responsive and recently active, open to work."
CAND_0018549,18,0.9436,"6.8 yrs as a Recommendation Systems Engineer at Uber, with learning-to-rank and qdrant running through the career history — squarely the JD's core mandate; Coimbatore-based, open to relocate, responsive and recently active, open to work."
CAND_0027691,19,0.9436,"6.5 yrs as a NLP Engineer at Haptik, with learning to rank and embeddings running through the career history — squarely the JD's core mandate; Pune-based (preferred location), open to work, 15-day notice."
CAND_0033445,20,0.9435,"ML Engineer with 7 yrs; profile shows hands-on applied machine learning, recommendation systems — the retrieval/ranking work this role centres on; Ahmedabad-based, responsive and recently active, open to work."
CAND_0062413,21,0.9426,"6.6 yrs as an AI Research Engineer at upGrad, with semantic search and pinecone running through the career history — squarely the JD's core mandate; Mumbai-based, responsive and recently active, open to work."
CAND_0081846,22,0.9420,"Lead AI Engineer with 7 yrs; profile shows hands-on recommendation systems, semantic search — the retrieval/ranking work this role centres on; Jaipur-based, open to relocate, responsive and recently active, open to work."
CAND_0071974,23,0.9408,"7.8 yrs as a Senior AI Engineer at Netflix, with learning to rank and re-ranking running through the career history — squarely the JD's core mandate; Vizag-based, responsive and recently active, open to work."
